question,answer,category
Есть ли парковка?,"Да, бесплатная парковка для студентов на 200 мест",campus
Как получить общежитие?,"Подайте заявление вместе с основными документами до 1 августа",campus
Какие компьютерные программы изучают?,"Python, SQL, 1С, Adobe Photoshop в зависимости от специальности",subjects
Есть ли медицинский пункт?,"Да, круглосуточный медпункт с терапевтом и стоматологом",campus
Какой график работы приемной комиссии?,"Пн-Пт 9:00-18:00, Сб 10:00-15:00. В июле-августе без выходных",contacts
Какие документы для магистратуры?,"Диплом бакалавра, паспорт, 2 фото 3×4, заявление",documents
Есть ли программы обмена?,"Да, программы Erasmus+ и собственные соглашения с 20 странами",international
Какой срок подачи оригиналов?,"Оригиналы нужно предоставить до 10 августа",rules
Какие спортивные секции?,"Баскетбол, плавание, шахматы, скалолазание и другие",campus
Есть ли психологическая помощь?,"Да, в центре психологической поддержки студентов",campus
Как пересдать вступительные?,"Пересдача возможна только в следующем году",rules
Какие документы для целевиков?,"Договор о целевом обучении и направление от организации",documents
Есть ли Wi-Fi на кампусе?,"Да, бесплатный Wi-Fi покрывает всю территорию университета",campus
Как получить второе высшее?,"По программам для выпускников вузов, срок обучения сокращенный",degrees
Какие кружки по интересам?,"Театральная студия, КВН, робототехника, дебаты и другие",campus
Есть ли лаборатории?,"15 современных лабораторий, в том числе VR-лаборатория",facilities
Как подать документы почтой?,"Отправьте нотариально заверенные копии с описью вложения",documents
Какие льготы у многодетных?,"Скидка 10% на платное обучение для членов многодетных семей",benefits
Есть ли лифты в корпусах?,"Да, все корпуса оборудованы лифтами и пандусами",campus
Как узнать ФИО преподавателей?,"Список преподавателей есть на сайтах факультетов",contacts
Какие документы для иностранцев?,"Нострификация диплома, перевод паспорта, миграционная карта",international
Есть ли читальный зал?,"Да, научная библиотека с читальным залом на 200 мест",facilities
Как получить социальную поддержку?,"Обратитесь в отдел социальной работы с подтверждающими документами",benefits
Какие компьютерные классы?,"10 классов с современными ПК и специализированным ПО",facilities
Есть ли программы для старшеклассников?,"Да, «Школа юного экономиста» и «Юный программист»",preparation
Как узнать контакты деканата?,"Все контакты в разделе «Структура университета» на сайте",contacts
Какие документы для перевода?,"Академическая справка и заверенная копия зачетной книжки",transfer
Есть ли каникулы?,"Да, 2 раза в год: зимой (2 недели) и летом (8 недель)",schedule
Как получить справку об обучении?,"В канцелярии вашего факультета в течение 3 рабочих дней",documents
Какие музеи в университете?,"Музей истории университета и геологический музей",campus
Есть ли доставка еды?,"Да, работают несколько сервисов доставки в столовые",campus
Как получить дубликат студенческого?,"В деканате факультета при утере с заявлением и квитанцией об оплате",documents
Какие мероприятия для студентов?,"«Посвящение в студенты», научные конференции, спортивные турниры",events
Есть ли автошкола?,"Да, с льготными условиями для студентов университета",campus
Как узнать расписание?,"Через личный кабинет студента или мобильное приложение",schedule
Какие документы для восстановления?,"Заявление и академическая справка",transfer
Есть ли коворкинг?,"Да, 3 коворкинг-зоны с компьютерами и зонами отдыха",facilities
Как получить материальную помощь?,"По заявлению в профком студентов при наличии оснований",benefits
Какие IT-ресурсы доступны?,"Облачное хранилище, подписка на профессиональные СУБД",facilities
Есть ли программа менторства?,"Да, старшекурсники помогают новичкам адаптироваться",campus
Как узнать стипендию?,"В личном кабинете студента или в бухгалтерии",finance
Какие документы для аспирантуры?,"Диплом магистра, список публикаций, реферат",degrees
Есть ли нотариус в университете?,"Да, в главном корпусе (кабинет 104)",campus
Как получить характеристику?,"Обратитесь в деканат с запросом за 5 рабочих дней",documents
Какие конкурсы проводятся?,"Стартап-конкурсы, олимпиады, грантовые конкурсы",events
Есть ли медосмотр перед поступлением?,"Только для некоторых специальностей (медицина, педагогика)",health
Как получить доступ в библиотеку?,"По студенческому билету после регистрации",facilities
Какие документы для отчисления?,"Заявление и обходной лист",transfer
Есть ли программа «Стартап как диплом»?,"Да, на экономическом и IT-факультетах",degrees
Как узнать размер стипендии?,"В приказе ректора или в личном кабинете",finance
Какие документы для академического отпуска?,"Заявление и документы, подтверждающие причину",transfer
Есть ли тифлокомментарии?,"Да, для слабовидящих студентов доступны специальные услуги",benefits
Как получить справку для военкомата?,"В военном отделе университета по запросу",military
Какие документы для пересдачи?,"Заявление и квитанция об оплате (для платной пересдачи)",rules
Есть ли программа для людей 50+?,"Да, «Университет третьего возраста» с отдельной программой",benefits
Как получить удостоверение аспиранта?,"В отделе аспирантуры после зачисления",degrees
Какие документы для командировки?,"Приказ декана и служебное задание",transfer
Есть ли льготы для доноров?,"Да, дополнительные дни к отпуску и премии",benefits
Как получить дубликат диплома?,"В отделе кадров с заявлением и квитанцией об оплате",documents
Какие документы для практики?,"Договор с организацией и индивидуальное задание",transfer
Есть ли программа двойного диплома с Азией?,"Да, с университетами Китая и Южной Кореи",international
Как получить справку для визы?,"В международном отделе по запросу",international
Какие документы для стажировки?,"Рекомендация преподавателя и согласие принимающей стороны",transfer
Есть ли квота для беженцев?,"Да, 2 места на каждом факультете",benefits
Как получить справку об инвалидности?,"В социальном отделе университета",benefits
Какие документы для академа?,"Медицинская справка (для мед. причин) или подтверждающие документы",transfer
Есть ли курсы повышения квалификации?,"Да, по всем основным направлениям",degrees
Как получить выписку из приказа?,"В канцелярии факультета в течение 3 дней",documents
Какие документы для восстановления после армии?,"Военный билет и заявление",transfer
Есть ли программа для детей сотрудников?,"Да, скидка 15% на обучение",benefits
Как получить доступ к научным журналам?,"Через подписку университета в библиотеке",facilities
Какие документы для участия в конференции?,"Тезисы доклада и заявка от кафедры",transfer
Есть ли льготы для чернобыльцев?,"Да, скидка 20% на обучение",benefits
Как получить разрешение на индивидуальный график?,"Заявление с обоснованием и согласие декана",rules
