question,answer,category
Есть ли парковка?,"Да, бесплатная парковка для студентов на 200 мест",campus
Как получить общежитие?,"Подайте заявление вместе с основными документами до 1 августа",campus
Какие компьютерные программы изучают?,"Python, SQL, 1С, Adobe Photoshop в зависимости от специальности",subjects
Есть ли медицинский пункт?,"Да, круглосуточный медпункт с терапевтом и стоматологом",campus
Какой график работы приемной комиссии?,"Пн-Пт 9:00-18:00, Сб 10:00-15:00. В июле-августе без выходных",contacts
Какие документы для магистратуры?,"Диплом бакалавра, паспорт, 2 фото 3×4, заявление",documents
Есть ли программы обмена?,"Да, программы Erasmus+ и собственные соглашения с 20 странами",international
Какой срок подачи оригиналов?,"Оригиналы нужно предоставить до 10 августа",rules
Какие спортивные секции?,"Баскетбол, плавание, шахматы, скалолазание и другие",campus
Есть ли психологическая помощь?,"Да, в центре психологической поддержки студентов",campus
Как пересдать вступительные?,"Пересдача возможна только в следующем году",rules
Какие документы для целевиков?,"Договор о целевом обучении и направление от организации",documents
Есть ли Wi-Fi на кампусе?,"Да, бесплатный Wi-Fi покрывает всю территорию университета",campus
Как получить второе высшее?,"По программам для выпускников вузов, срок обучения сокращенный",degrees
Какие кружки по интересам?,"Театральная студия, КВН, робототехника, дебаты и другие",campus
Есть ли лаборатории?,"15 современных лабораторий, в том числе VR-лаборатория",facilities
Как подать документы почтой?,"Отправьте нотариально заверенные копии с описью вложения",documents
Какие льготы у многодетных?,"Скидка 10% на платное обучение для членов многодетных семей",benefits
Есть ли лифты в корпусах?,"Да, все корпуса оборудованы лифтами и пандусами",campus
Как узнать ФИО преподавателей?,"Список преподавателей есть на сайтах факультетов",contacts
Какие документы для иностранцев?,"Нострификация диплома, перевод паспорта, миграционная карта",international
Есть ли читальный зал?,"Да, научная библиотека с читальным залом на 200 мест",facilities
Как получить социальную поддержку?,"Обратитесь в отдел социальной работы с подтверждающими документами",benefits
Какие компьютерные классы?,"10 классов с современными ПК и специализированным ПО",facilities
Есть ли программы для старшеклассников?,"Да, «Школа юного экономиста» и «Юный программист»",preparation
Как узнать контакты деканата?,"Все контакты в разделе «Структура университета» на сайте",contacts
Какие документы для перевода?,"Академическая справка и заверенная копия зачетной книжки",transfer
Есть ли каникулы?,"Да, 2 раза в год: зимой (2 недели) и летом (8 недель)",schedule
Как получить справку об обучении?,"В канцелярии вашего факультета в течение 3 рабочих дней",documents
Какие музеи в университете?,"Музей истории университета и геологический музей",campus
Есть ли доставка еды?,"Да, работают несколько сервисов доставки в столовые",campus
Как получить дубликат студенческого?,"В деканате факультета при утере с заявлением и квитанцией об оплате",documents
Какие мероприятия для студентов?,"«Посвящение в студенты», научные конференции, спортивные турниры",events
Есть ли автошкола?,"Да, с льготными условиями для студентов университета",campus
Как узнать расписание?,"Через личный кабинет студента или мобильное приложение",schedule
Какие документы для восстановления?,"Заявление и академическая справка",transfer
Есть ли коворкинг?,"Да, 3 коворкинг-зоны с компьютерами и зонами отдыха",facilities
Как получить материальную помощь?,"По заявлению в профком студентов при наличии оснований",benefits
Какие IT-ресурсы доступны?,"Облачное хранилище, подписка на профессиональные СУБД",facilities
Есть ли программа менторства?,"Да, старшекурсники помогают новичкам адаптироваться",campus
Как узнать стипендию?,"В личном кабинете студента или в бухгалтерии",finance
Какие документы для аспирантуры?,"Диплом магистра, список публикаций, реферат",degrees
Есть ли нотариус в университете?,"Да, в главном корпусе (кабинет 104)",campus
Как получить характеристику?,"Обратитесь в деканат с запросом за 5 рабочих дней",documents
Какие конкурсы проводятся?,"Стартап-конкурсы, олимпиады, грантовые конкурсы",events
Есть ли медосмотр перед поступлением?,"Только для некоторых специальностей (медицина, педагогика)",health
Как получить доступ в библиотеку?,"По студенческому билету после регистрации",facilities
Какие документы для отчисления?,"Заявление и обходной лист",transfer
Есть ли программа «Стартап как диплом»?,"Да, на экономическом и IT-факультетах",degrees
Как узнать размер стипендии?,"В приказе ректора или в личном кабинете",finance
Какие документы для академического отпуска?,"Заявление и документы, подтверждающие причину",transfer
Есть ли тифлокомментарии?,"Да, для слабовидящих студентов доступны специальные услуги",benefits
Как получить справку для военкомата?,"В военном отделе университета по запросу",military
Какие документы для пересдачи?,"Заявление и квитанция об оплате (для платной пересдачи)",rules
Есть ли программа для людей 50+?,"Да, «Университет третьего возраста» с отдельной программой",benefits
Как получить удостоверение аспиранта?,"В отделе аспирантуры после зачисления",degrees
Какие документы для командировки?,"Приказ декана и служебное задание",transfer
Есть ли льготы для доноров?,"Да, дополнительные дни к отпуску и премии",benefits
Как получить дубликат диплома?,"В отделе кадров с заявлением и квитанцией об оплате",documents
Какие документы для практики?,"Договор с организацией и индивидуальное задание",transfer
Есть ли программа двойного диплома с Азией?,"Да, с университетами Китая и Южной Кореи",international
Как получить справку для визы?,"В международном отделе по запросу",international
Какие документы для стажировки?,"Рекомендация преподавателя и согласие принимающей стороны",transfer
Есть ли квота для беженцев?,"Да, 2 места на каждом факультете",benefits
Как получить справку об инвалидности?,"В социальном отделе университета",benefits
Какие документы для академа?,"Медицинская справка (для мед. причин) или подтверждающие документы",transfer
Есть ли курсы повышения квалификации?,"Да, по всем основным направлениям",degrees
Как получить выписку из приказа?,"В канцелярии факультета в течение 3 дней",documents
Какие документы для восстановления после армии?,"Военный билет и заявление",transfer
Есть ли программа для детей сотрудников?,"Да, скидка 15% на обучение",benefits
Как получить доступ к научным журналам?,"Через подписку университета в библиотеке",facilities
Какие документы для участия в конференции?,"Тезисы доклада и заявка от кафедры",transfer
Есть ли льготы для чернобыльцев?,"Да, скидка 20% на обучение",benefits
Как получить разрешение на индивидуальный график?,"Заявление с обоснованием и согласие декана",rules
Какие направления подготовки доступны в университете?,"Университет предлагает более 30 направлений подготовки, включая экономику, юриспруденцию, ИТ, менеджмент и дизайн.",programs
Можно ли участвовать в научных конференциях во время учебы?,"Да, студенты могут участвовать во внутренних и внешних научных конференциях, подав заявку через кафедру.",activities
Как пройти вступительное собеседование для магистратуры?,"Собеседование проводится очно или онлайн по согласованию с приемной комиссией. Необходимо подготовить мотивационное письмо.",degrees
"Можно ли подать заявление без аттестата, если я его еще не получил?","Да, можно подать предварительное заявление, указав дату получения аттестата. Аттестат нужно донести позже.",documents
Какие направления доступны на заочной форме?,"На заочной форме доступны: экономика, менеджмент, юриспруденция, психология и ИТ.",format
Сколько направлений можно выбрать при поступлении?,"Вы можете выбрать до 3 направлений в рамках одного заявления.",rules
Предусмотрено ли обучение на английском языке?,"Да, по ряду программ реализуются модули или курсы на английском языке.",international
Какие требования к фото для документов?,"Фото должно быть форматом 3×4 см, сделано на светлом фоне, без головного убора.",documents
Когда начинается учебный год?,"Учебный год традиционно начинается 1 сентября.",schedule
Есть ли возможность ускоренного обучения?,"Да, при наличии академической разницы и высоких результатов возможно обучение по индивидуальному графику.",rules
Какие формы контроля используются во время обучения?,"Применяются зачеты, экзамены, курсовые и проектные работы. В магистратуре — защита кейсов и эссе.",subjects
Можно ли восстановиться после академического отпуска?,"Да, восстановление возможно после подачи заявления и согласования с деканатом.",transfer
Есть ли вечерняя форма обучения?,"Да, вечерняя форма предусмотрена по ряду программ бакалавриата и магистратуры.",format
Как проходит адаптация первокурсников?,"Проводятся встречи с наставниками, тренинги и мероприятия в рамках недели адаптации.",activities
Как оформить справку-вызов для работодателя?,"Справку можно получить в деканате по запросу студента.",documents
Есть ли доступ к электронной библиотеке?,"Да, студенты получают доступ к ЭБС после регистрации в системе и входа через личный кабинет.",facilities
Какие особенности обучения на дистанционной форме?,"Уроки проходят в системе LMS, используются видеолекции, онлайн-семинары и тестирование.",format
Можно ли получить академическую справку?,"Да, справка выдается в деканате по письменному запросу в течение 3 рабочих дней.",documents
Как записаться на подготовительные курсы?,"Регистрация доступна через сайт в разделе 'Абитуриенту → Подготовительные курсы'",preparation
Как получить консультацию по выбору направления?,"Вы можете обратиться в центр профориентации или записаться на онлайн-консультацию.",contacts
Какие дисциплины изучаются на менеджменте?,"Основные дисциплины: управление персоналом, маркетинг, экономика, анализ рисков.",subjects
Можно ли получить справку об успеваемости?,"Да, справка оформляется по запросу через учебный офис.",documents
Сколько длится обучение на бакалавриате?,"Обучение длится 4 года на очной форме и 5 лет на заочной.",degrees
Есть ли практика во время обучения?,"Да, все студенты проходят производственную и преддипломную практику в компаниях-партнерах.",career
Какие требования к дипломной работе?,"Объем — не менее 40 страниц. Требуется защита перед ГАК и наличие научного руководителя.",degrees
Когда будут проводиться вступительные испытания для абитуриентов?,Все вступительные испытания могут быть пройдены в день подачи заявления. Абитуриенты Центра дистанционного обучения проходят тестирование по ссылке в удобное время.,exams
В какой форме проходят вступительные испытания?,Форма зависит от уровня образования: для колледжа — без экзаменов; бакалавры — по ЕГЭ или внутренним экзаменам; магистратура — комплексный экзамен; аспирантура — устный экзамен. Форма зависит от типа обучения (очная/заочная).,exams
Какое количество баллов ЕГЭ необходимо для поступления?,"Минимальные баллы: иностранный язык — 23, русский — 37, информатика — 41, математика — 28, обществознание — 42, история — 33, биология — 36.",scores
Какое количество баллов необходимо набрать на вступительных испытаниях в форме тестирования?,Необходимо набрать не менее 20 баллов из 100.,scores
Какие условия поступления на бюджетную форму обучения?,"Полное среднее образование, результаты ЕГЭ, очная форма. Конкурсный отбор по направлениям: экономика, менеджмент, юриспруденция. Есть второй этап в августе.",finance
Какие документы обязательно иметь на руках при подаче заявления?,Паспорт и документ об образовании. Остальные документы можно предоставить позже.,documents
Сколько времени занимает поступление в вуз?,"Подача документов, экзамены, договор и оплата — всё можно пройти за 1 день.",rules
Когда и как я могу оплатить свое обучение?,"Оплата возможна за год, семестр или помесячно. В кассе университета или через банк. После оплаты требуется подтверждение.",finance
Как работает приемная комиссия?,График работы размещён на странице приёмной комиссии.,contacts
Когда проходят Дни открытых дверей?,График проведения размещён на странице университета.,events
Есть ли у вуза лицензия и аккредитация?,Да. Аккредитация №3443 до 06.11.2026. Лицензия №0984 от 21.04.2014 — бессрочная.,documents
Где я могу получить копии лицензии и аккредитации?,В 107 кабинете ДКСО. Бланки на стенде. При отсутствии — к менеджеру.,documents
Предоставляет ли вуз отсрочку от армии и кому?,"Да. Очная форма, магистратура после бакалавриата, аспирантура после магистратуры или специалитета.",military
Есть ли у вуза общежитие и на каких условиях оно предоставляется?,"Да. Летом — абитуриентам, с учебного года — студентам. Общежитие платное.",campus
Как перевестись в Московский Университет имени С.Ю.Витте из другого вуза?,Из аккредитованных вузов. Заявление и документы — рассмотрение за 3 дня. Возможность быть вольнослушателем до получения справки.,transfer
Какие документы необходимы для поступления в вуз иностранных граждан?,"Документы об образовании, паспорт, виза, регистрация, медицинская справка, справка на ВИЧ, перевод документов и эквивалентность.",international
Какие документы необходимы для перевода из иностранных вузов?,"Документ об образовании, академическая справка, лицензия и аккредитация ВУЗа, нотариальные переводы.",transfer
Оказывает ли вуз помощь в регистрации абитуриентам-гражданам СНГ?,Нет. Регистрацию абитуриенты оформляют самостоятельно.,international
Какая информация будет указана в дипломе?,Направление обучения и присвоенная квалификация.,degrees
Указывается ли в дипломе форма обучения?,"Нет, только в приложении к диплому.",degrees
Есть ли у вас форма обучения экстерном?,Для бакалавриата — нет. Для специалитета и магистратуры — возможно по заявлению после первого семестра.,format
Можно ли пройти обучение на английском языке?,"Да, для некоторых программ магистратуры предусмотрено обучение на английском языке. Уточняйте при подаче заявления.",format
Есть ли у вуза партнерские соглашения с работодателями?,"Да, университет сотрудничает с рядом компаний для прохождения практики и дальнейшего трудоустройства студентов.",career
Как записаться на консультацию по поступлению?,"Вы можете записаться на консультацию по телефону приемной комиссии или через форму на сайте.",contacts
Можно ли подать документы без личного присутствия?,"Да, документы можно отправить по почте или через электронную приёмную комиссию.",documents
Как получить справку об обучении на английском языке?,"Необходимо оставить заявку в деканате и указать, что требуется англоязычная версия справки.",documents
Есть ли в университете инклюзивная среда?,"Да, университет оборудован для обучения студентов с ограниченными возможностями здоровья.",facilities
Какие направления подготовки есть на заочной форме?,"На заочной форме доступны направления: экономика, юриспруденция, менеджмент, информатика и др.",format
Можно ли изменить форму обучения после зачисления?,"Да, при наличии свободных мест и согласии деканата возможен перевод между формами обучения.",rules
Есть ли возможность прохождения стажировки за границей?,"Да, университет организует стажировки за рубежом в рамках международных соглашений.",international
Как узнать расписание занятий на следующий семестр?,"Расписание публикуется в личном кабинете студента и на сайте факультета.",schedule
Есть ли в университете спортивный зал?,"Да, работает современный спортивный комплекс с тренажерами, залом для игровых видов спорта и секциями.",campus
"Что делать, если потерял студенческий билет?","Необходимо обратиться в деканат с заявлением и оплатить госпошлину за дубликат.",documents
Можно ли участвовать в студенческих конкурсах?,"Да, студенты активно участвуют в научных и творческих конкурсах, как внутри вуза, так и на внешних площадках.",events
Есть ли волонтёрские программы?,"Да, действует центр волонтёрства, в который можно вступить с первого курса.",benefits
Как восстановить доступ в личный кабинет?,"Обратитесь в техническую поддержку университета или в приёмную комиссию для сброса пароля.",contacts
Какие бывают формы практики?,"Учебная, производственная и преддипломная практики проводятся в соответствии с учебным планом.",transfer
"Можно ли участвовать в программе обмена, если учусь на заочке?","Да, при согласовании с руководством факультета участие возможно.",international
Какие есть студенческие организации?,"В университете действуют: студенческий совет, профсоюз, клубы по интересам и волонтёрские объединения.",campus
Как получить справку для налогового вычета?,"Запросите справку о расходах на обучение в бухгалтерии университета.",finance
Какие дисциплины изучаются на направлении «Менеджмент»?,"Основные дисциплины: управление персоналом, стратегический менеджмент, маркетинг, экономика предприятия и другие.",subjects
"Какие преимущества есть у студентов, обучающихся по договору?","Они могут участвовать в конкурсах на скидки, имеют доступ ко всем образовательным и внеучебным активностям университета.",benefits
Можно ли восстановиться на программу после академического отпуска?,"Да, после подачи заявления и согласования с деканатом.",transfer
Как пройти профессиональную переподготовку в университете?,"Подать заявление в центр дополнительного образования и выбрать интересующее направление.",degrees
Есть ли обучение в формате blended learning?,"Да, часть программ реализуется в смешанном формате с чередованием очных и онлайн-занятий.",format
Существуют ли индивидуальные траектории обучения?,"Да, студент может выбрать элективные курсы и формировать часть учебного плана самостоятельно.",rules
Как проходит сдача курсовых работ?,"Курсовая работа сдается в электронном и бумажном виде, с последующей защитой перед преподавателем.",subjects
Можно ли пройти практику в другом регионе?,"Да, при наличии договора между вузом и принимающей организацией, а также согласии деканата.",career
Какие есть стипендии для активных студентов?,"Дополнительные стипендии могут назначаться за успехи в науке, спорте и волонтерстве.",finance
Как принять участие в студенческом совете?,"Необходимо подать заявку и пройти собеседование с действующими членами совета.",activities
Можно ли распечатать учебные материалы в университете?,"Да, в коворкингах и библиотеке доступны принтеры для учебных целей.",facilities
Какие курсы доступны в рамках программ повышения квалификации?,"Финансовый учет, цифровой маркетинг, педагогика, правовые основы бизнеса и другие.",degrees
Как получить рекомендацию преподавателя?,"Обратитесь лично к преподавателю с обоснованием цели получения рекомендации.",contacts
Можно ли внести изменения в договор об обучении?,"Да, по заявлению студента и при согласии обеих сторон.",documents
Как узнать количество оставшихся попыток на пересдачу?,"Информация доступна в личном кабинете студента или через учебный офис.",rules
Где можно оставить отзыв о преподавателе?,"Через анонимную форму обратной связи на сайте вуза или в студсовете.",contacts
Как получить статус отличника?,"Нужно иметь средний балл не ниже 4.75 и не иметь задолженностей.",benefits
Есть ли возможность оплачивать обучение в рассрочку?,"Да, предусмотрены рассрочки помесячно или по семестрам.",finance
Как получить доступ к внутренним вебинарам университета?,"Ссылка на вебинар высылается на корпоративную почту студента.",facilities
Какие возможности есть у студентов в сфере стартапов?,"Можно участвовать в акселерационных программах и конкурсах стартапов, поддерживаемых вузом.",activities
Какие конкурсы по науке проводятся внутри вуза?,"Конференции молодых ученых, конкурсы студенческих работ и проектные олимпиады.",events
Можно ли обучаться параллельно по двум программам?,"Да, при успешной сдаче текущих дисциплин и согласовании расписания.",degrees
Как подать жалобу на административные действия?,"Жалоба подается в деканат или службу внутреннего контроля в письменной форме.",contacts
Есть ли услуга нотариального заверения копий?,"Да, при университете работает нотариус в определенные часы.",facilities
Можно ли подать заявление в магистратуру с неполным дипломом?,"Да, если на момент зачисления будет предоставлен полный комплект документов.",degrees
Как оформить временное освобождение от занятий?,"Необходимо подать заявление с подтверждающими документами и согласовать с деканом.",rules
Где узнать информацию об открытых элективах?,"Список элективов публикуется на сайте и в LMS системы перед началом семестра.",subjects
Как работает система наставничества в университете?,"Каждому первокурснику назначается старшекурсник-наставник, который помогает адаптироваться.",activities
Как получить льготу по оплате обучения при потере кормильца?,"Предоставьте свидетельство и соответствующие справки в бухгалтерию и деканат.",benefits
Можно ли временно прекратить обучение по семейным обстоятельствам?,"Да, через академический отпуск по заявлению и предоставлению подтверждающих документов.",transfer
Есть ли электронный читальный зал?,"Да, доступ осуществляется через корпоративную учетную запись студента.",facilities
Можно ли сдавать зачеты досрочно?,"Да, при наличии уважительной причины и с разрешения преподавателя.",rules
Как восстановить потерянную зачётную книжку?,"Обратитесь в деканат с заявлением и оплатите установленную пошлину.",documents
Какие партнерские вузы участвуют в программах обмена?,"Среди партнеров – университеты Германии, Китая, Франции, Казахстана и других стран.",international
Как оформить заявление на досрочную сессию?,"Подайте заявление в деканат с указанием причины и подтверждающими документами.",rules
Есть ли в кампусе банкоматы и терминалы?,"Да, на территории установлены банкоматы крупных банков и платежные терминалы.",campus
Где можно узнать расписание консультаций преподавателей?,"Оно публикуется на сайте факультета и на информационных стендах.",contacts
Можно ли заменить курсовую на проект?,"Да, по согласованию с преподавателем и в рамках учебного плана.",subjects
Какие особенности поступления в аспирантуру?,"Требуются диплом магистра или специалиста, реферат, список публикаций и сдача вступительных экзаменов.",degrees
Как получить скидку при оплате за весь год?,"Скидка предоставляется при единовременной оплате до установленного срока.",finance
Есть ли специальные программы для абитуриентов из регионов?,"Да, действует программа поддержки иногородних, включая скидки и заселение в общежитие.",benefits
Можно ли обучаться полностью онлайн?,"Да, предусмотрены программы в дистанционном формате без необходимости посещения кампуса.",format
Как принять участие в кейс-чемпионате?,"Обычно регистрация проходит через сайт вуза или кафедру. Подробности публикуются заранее.",events
Какие есть ограничения при выборе элективных дисциплин?,"Ограничения зависят от направления подготовки и уровня курса.",subjects
Можно ли досрочно завершить обучение?,"Да, при условии досрочного выполнения всех учебных обязательств.",rules
Как получить доступ к корпоративной электронной почте?,"Учетные данные выдаются при зачислении и доступны в личном кабинете.",contacts
Есть ли подготовительные курсы для магистратуры?,"Да, можно пройти интенсивные курсы по профилю будущей программы.",preparation
Как получить справку для выезда за границу?,"Запросите справку в деканате, указав страну и цель выезда.",documents
Можно ли распечатать дипломный проект в университете?,"Да, в типографии вуза можно заказать печать диплома и приложений.",facilities
Какие языковые курсы доступны для студентов?,"Помимо обязательного английского, предлагаются курсы китайского, испанского и немецкого.",languages
Есть ли возможность оплачивать обучение частями?,"Да, предусмотрена система оплаты по частям по согласованию с бухгалтерией.",finance
Какие требования к оформлению диплома?,"Работа оформляется по ГОСТу, включает титульный лист, содержание, главы, выводы и список литературы.",degrees
Где можно найти инструкции по пользованию LMS?,"Руководства размещены на стартовой странице LMS и доступны в разделе помощи.",facilities
Какие форматы обучения доступны для работающих студентов?,"Предусмотрены вечерняя, заочная и дистанционная формы обучения, позволяющие совмещать учёбу с работой.",format
"Как узнать, когда откроется подача заявлений?","Дата начала приёма заявлений публикуется на официальном сайте и в социальных сетях вуза.",dates
Можно ли пройти обучение по индивидуальному плану?,"Да, индивидуальный план возможен по согласованию с деканом и при наличии уважительных причин.",rules
Где размещаются учебные материалы по курсам?,"Все учебные материалы доступны в системе дистанционного обучения (LMS).",facilities
Есть ли бесплатные подготовительные курсы?,"Да, периодически вуз организует бесплатные краткосрочные курсы для абитуриентов.",preparation
Как участвовать в студенческих дебатах?,"Запишитесь в клуб дебатов через студсовет или преподавателя кафедры.",activities
Как восстановить потерянный пароль от LMS?,"Обратитесь в техподдержку или воспользуйтесь функцией восстановления на сайте LMS.",contacts
Можно ли зачесть результаты обучения в другом вузе?,"Да, при переводе вы можете подать академическую справку для перезачёта дисциплин.",transfer
Какие дополнительные услуги предоставляет университет?,"Включают коворкинги, консультации психолога, доступ к научным базам, спортивные секции и др.",facilities
Есть ли ограничения по возрасту для поступления?,"Возрастных ограничений нет — поступить может любой, соответствующий требованиям программы.",rules
Как узнать о вакансиях в университетских подразделениях?,"Информация размещается в разделе «Вакансии» на сайте или на стенде у отдела кадров.",career
Можно ли оформить справку об обучении в электронном виде?,"Да, часть справок можно заказать через личный кабинет и получить по электронной почте.",documents
Что такое академическая мобильность?,"Это возможность пройти часть обучения в другом вузе-партнёре, в том числе за рубежом.",international
Какие мероприятия проходят на первом курсе?,"Обычно проводятся дни адаптации, встречи с наставниками, экскурсии и вводные лекции.",activities
"Можно ли участвовать в конкурсах, не будучи членом студсовета?","Да, участие в конкурсах открыто для всех студентов независимо от членства в организациях.",events
Где получить справку для предъявления в банк?,"В деканате оформляется справка по запросу студента в течение 3 рабочих дней.",documents
Какой срок действия академической справки?,"Как правило, справка действительна в течение 6 месяцев. Уточняйте у принимающей стороны.",transfer
Есть ли квоты для людей с ОВЗ?,"Да, предусмотрены специальные квоты и условия поступления для абитуриентов с ограниченными возможностями здоровья.",benefits
Как проходит процедура перевода между программами внутри вуза?,"Подайте заявление в деканат, пройдите собеседование и получите согласование на перевод.",transfer
Какие направления считаются междисциплинарными?,"Например, бизнес-информатика, правовое обеспечение ИТ, цифровая экономика и другие.",programs
Можно ли отсрочить защиту диплома?,"Да, по уважительной причине и с разрешения декана срок защиты может быть перенесён.",rules
Где проходят очные консультации по дисциплинам?,"Обычно — в кабинетах преподавателей или аудиториях, указанных в расписании консультаций.",contacts
Как получить доступ к базе данных диссертаций?,"Вход возможен через библиотеку университета или по VPN-подключению.",facilities
Какие студенческие проекты поддерживаются вузом?,"Проекты в сфере ИТ, предпринимательства, социальной активности, науки и экологии получают поддержку и финансирование.",activities
Можно ли оформить академическую справку онлайн?,"Да, через личный кабинет на сайте университета в разделе 'Запросы'.",documents
Как устроена учеба на модульной системе?,"Каждый модуль длится 4–6 недель и завершается промежуточной аттестацией.",format
Можно ли подать апелляцию на результат сессии?,"Да, в течение 2 рабочих дней с момента публикации оценки.",appeals
Как стать участником научного кружка?,"Обратитесь к руководителю кафедры или следите за объявлениями на стендах.",activities
Есть ли дополнительные баллы за участие в олимпиадах?,"Да, до 10 баллов к конкурсному баллу в зависимости от уровня олимпиады.",benefits
Какие цифровые платформы используются в учебе?,"Основные: LMS Moodle, электронный журнал, Zoom, Microsoft Teams.",facilities
Можно ли получить дополнительную квалификацию параллельно с обучением?,"Да, через центр допобразования можно пройти курсы повышения квалификации.",degrees
Каковы требования к научной статье студента?,"Минимум 5 страниц, наличие аннотации, ключевых слов и списка литературы.",subjects
Есть ли доступ к антиплагиату для студентов?,"Да, доступ предоставляется для проверки курсовых и дипломных работ.",facilities
Что входит в состав приемной комиссии?,"Руководитель, технический секретарь, представители факультетов и юридический отдел.",contacts
Можно ли участвовать в волонтёрских поездках?,"Да, центр волонтерства организует мероприятия и поездки в другие регионы.",benefits
Какие направления популярны у иностранных студентов?,"Наибольший интерес вызывают экономика, международное право, ИТ и лингвистика.",international
Как узнать статус заявления на поступление?,"Проверьте статус в личном кабинете абитуриента или уточните в приемной комиссии.",documents
